Difference: 0.762790, Indices: [0, 2, 0, 6, 2, 0]
Difference: 0.776242, Indices: [0, 2, 0, 6, 7, 0]
Difference: 0.776347, Indices: [0, 2, 0, 6, 3, 0]
Difference: 0.776347, Indices: [0, 2, 0, 6, 4, 0]
Difference: 0.776347, Indices: [0, 2, 0, 6, 5, 0]
Difference: 0.776347, Indices: [0, 2, 0, 6, 6, 0]
Difference: 1.915907, Indices: [0, 2, 0, 6, 0, 0]
Difference: 2.248616, Indices: [0, 2, 0, 6, 1, 0]
Difference: 4.778233, Indices: [0, 2, 0, 2, 1, 0]
Difference: 4.778233, Indices: [0, 2, 0, 2, 1, 1]
Difference: 4.778233, Indices: [0, 2, 0, 2, 1, 2]
Difference: 5.114114, Indices: [0, 2, 0, 2, 0, 0]
Difference: 5.114114, Indices: [0, 2, 0, 2, 0, 1]
Difference: 5.114114, Indices: [0, 2, 0, 2, 0, 2]
Difference: 6.268321, Indices: [0, 2, 0, 2, 3, 0]
Difference: 6.268321, Indices: [0, 2, 0, 2, 3, 1]
Difference: 6.268321, Indices: [0, 2, 0, 2, 3, 2]
Difference: 6.268321, Indices: [0, 2, 0, 2, 4, 0]
Difference: 6.268321, Indices: [0, 2, 0, 2, 4, 1]
Difference: 6.268321, Indices: [0, 2, 0, 2, 4, 2]
Difference: 6.268321, Indices: [0, 2, 0, 2, 5, 0]
Difference: 6.268321, Indices: [0, 2, 0, 2, 5, 1]
Difference: 6.268321, Indices: [0, 2, 0, 2, 5, 2]
Difference: 6.268321, Indices: [0, 2, 0, 2, 6, 0]
Difference: 6.268321, Indices: [0, 2, 0, 2, 6, 1]
Difference: 6.268321, Indices: [0, 2, 0, 2, 6, 2]
Difference: 6.268867, Indices: [0, 2, 0, 2, 7, 0]
Difference: 6.268867, Indices: [0, 2, 0, 2, 7, 1]
Difference: 6.268867, Indices: [0, 2, 0, 2, 7, 2]
Difference: 6.282146, Indices: [0, 2, 0, 2, 2, 0]
Difference: 6.282146, Indices: [0, 2, 0, 2, 2, 1]
Difference: 6.282146, Indices: [0, 2, 0, 2, 2, 2]
Difference: 11.173651, Indices: [0, 2, 0, 6, 1, 1]
Difference: 11.508727, Indices: [0, 2, 0, 6, 0, 1]
Difference: 12.655167, Indices: [0, 2, 0, 6, 7, 1]
Difference: 12.655223, Indices: [0, 2, 0, 6, 3, 1]
Difference: 12.655223, Indices: [0, 2, 0, 6, 4, 1]
Difference: 12.655223, Indices: [0, 2, 0, 6, 5, 1]
Difference: 12.655223, Indices: [0, 2, 0, 6, 6, 1]
Difference: 12.668830, Indices: [0, 2, 0, 6, 2, 1]
Difference: 22.813034, Indices: [0, 1, 0, 1, 1, 0]
Difference: 23.187785, Indices: [0, 1, 0, 1, 0, 0]
Difference: 24.145247, Indices: [0, 2, 0, 5, 1, 0]
Difference: 24.201937, Indices: [0, 1, 0, 1, 3, 0]
Difference: 24.201937, Indices: [0, 1, 0, 1, 4, 0]
Difference: 24.201937, Indices: [0, 1, 0, 1, 5, 0]
Difference: 24.201937, Indices: [0, 1, 0, 1, 6, 0]
Difference: 24.215107, Indices: [0, 1, 0, 1, 7, 0]
Difference: 24.222094, Indices: [0, 1, 0, 1, 2, 0]
Difference: 24.482545, Indices: [0, 2, 0, 5, 0, 0]
Difference: 25.639489, Indices: [0, 2, 0, 5, 7, 0]
Difference: 25.639540, Indices: [0, 2, 0, 5, 3, 0]
Difference: 25.639540, Indices: [0, 2, 0, 5, 4, 0]
Difference: 25.639540, Indices: [0, 2, 0, 5, 5, 0]
Difference: 25.639540, Indices: [0, 2, 0, 5, 6, 0]
Difference: 25.653226, Indices: [0, 2, 0, 5, 2, 0]
Difference: 29.415649, Indices: [0, 1, 0, 1, 1, 1]
Difference: 29.791529, Indices: [0, 1, 0, 1, 0, 1]
Difference: 30.808802, Indices: [0, 1, 0, 1, 3, 1]
Difference: 30.808802, Indices: [0, 1, 0, 1, 4, 1]
Difference: 30.808802, Indices: [0, 1, 0, 1, 5, 1]
Difference: 30.808802, Indices: [0, 1, 0, 1, 6, 1]
Difference: 30.821949, Indices: [0, 1, 0, 1, 7, 1]
Difference: 30.829008, Indices: [0, 1, 0, 1, 2, 1]
Difference: 36.165363, Indices: [0, 2, 0, 6, 1, 2]
Difference: 36.504736, Indices: [0, 2, 0, 6, 0, 2]
Difference: 37.049507, Indices: [0, 2, 0, 3, 1, 0]
Difference: 37.049507, Indices: [0, 2, 0, 3, 1, 1]
Difference: 37.049507, Indices: [0, 2, 0, 3, 1, 2]
Difference: 37.419848, Indices: [0, 2, 0, 3, 0, 0]
Difference: 37.419848, Indices: [0, 2, 0, 3, 0, 1]
